system,subsystem,component,activity,synonyms,strategy_type
Exhaust,Silencing,Muffler,Repair,"repair, weld, rebuild, reseal",Corrective
Fuel System,Delivery,Fuel Pump,Replace,"replace, change-out, fit, remove, install",Corrective
Fuel System,Delivery,Fuel Pump,Repair,"repair, weld, rebuild, reseal",Corrective
Fuel System,Delivery,Fuel Pump,Diagnose,"check, investigate, test, analyse",Corrective
Fuel System,Storage,Fuel Tank,Replace,"replace, change-out, fit, remove, install",Corrective
Fuel System,Storage,Fuel Tank,Repair,"repair, weld, rebuild, reseal",Corrective
Fuel System,Storage,Fuel Tank,Diagnose,"check, investigate, test, analyse",Corrective
Fuel System,Control and Monitoring,Flowmeter,Replace,"replace, change-out, fit, remove, install",Corrective
Fuel System,Control and Monitoring,Flowmeter,Repair,"repair, weld, rebuild, reseal",Corrective
Fuel System,Control and Monitoring,Flowmeter,Diagnose,"check, investigate, test, analyse",Corrective
